Team,Name,Position,ETR Rank,ADP,ADP Differential,Week_17,Week_16,Week_15,Division
SF,Christian McCaffrey,RB,1,1.2,0.2,DET,MIA,LAR,NFC WEST
DAL,CeeDee Lamb,WR,2,2.1,0.1,PHI,TB,CAR,NFC EAST
MIA,Tyreek Hill,WR,3,3.2,0.2,CLE,SF,HOU,AFC EAST
CIN,Ja'Marr Chase,WR,4,4.3,0.3,DEN,CLE,TEN,AFC NORTH
DET,Amon-Ra St. Brown,WR,5,5.1,0.1,SF,CHI,BUF,NFC NORTH
MIN,Justin Jefferson,WR,6,6.1,0.1,GB,SEA,CHI,NFC NORTH
LAR,Puka Nacua,WR,7,9.2,2.2,ARI,NYJ,SF,NFC WEST
ATL,Bijan Robinson,RB,8,8.4,0.4,WAS,NYG,LV,NFC SOUTH
PHI,A.J. Brown,WR,9,10.3,1.3,DAL,WAS,PIT,NFC EAST
NYJ,Breece Hall,RB,10,7.2,-2.8,BUF,LAR,JAX,AFC EAST
ATL,Drake London,WR,11,15.5,4.5,WAS,NYG,LV,NFC SOUTH
NYJ,Garrett Wilson,WR,12,11.3,-0.7,BUF,LAR,JAX,AFC EAST
DET,Jahmyr Gibbs,RB,13,11.8,-1.2,SF,CHI,BUF,NFC NORTH
ARI,Marvin Harrison Jr.,WR,14,13.8,-0.2,LAR,CAR,NE,NFC WEST
NO,Chris Olave,WR,15,18.4,3.4,LV,GB,WAS,NFC SOUTH
PHI,Devonta Smith,WR,16,30.8,14.8,DAL,WAS,PIT,NFC EAST
LV,Davante Adams,WR,17,18.1,1.1,NO,JAX,ATL,AFC WEST
NYG,Malik Nabers,WR,18,35.3,17.3,IND,ATL,BAL,NFC EAST
HOU,Nico Collins,WR,19,20.7,1.7,BAL,KC,MIA,AFC SOUTH
CHI,D.J. Moore,WR,20,30.6,10.6,SEA,DET,MIN,NFC NORTH
TB,Mike Evans,WR,21,24.4,3.4,CAR,DAL,LAC,NFC SOUTH
SF,Brandon Aiyuk,WR,22,20.5,-1.5,DET,MIA,LAR,NFC WEST
