Name,Team,Position,ETR Rank,ADP,ADP Differential
Christian McCaffrey,SF,RB,1,1.2,0.2
CeeDee Lamb,DAL,WR,2,2.1,0.1
Tyreek Hill,MIA,WR,3,3.2,0.2
Ja'Marr Chase,CIN,WR,4,4.3,0.3
Amon-Ra St. Brown,DET,WR,5,5.1,0.1
Justin Jefferson,MIN,WR,6,6.1,0.1
Puka Nacua,LAR,WR,7,9.2,2.2
Bijan Robinson,ATL,RB,8,8.4,0.4
A.J. Brown,PHI,WR,9,10.3,1.3
Breece Hall,NYJ,RB,10,7.2,-2.8
Drake London,ATL,WR,11,15.5,4.5
Garrett Wilson,NYJ,WR,12,11.3,-0.7
Jahmyr Gibbs,DET,RB,13,11.8,-1.2
Marvin Harrison Jr.,ARI,WR,14,13.8,-0.2
Chris Olave,NO,WR,15,18.4,3.4
Devonta Smith,PHI,WR,16,30.8,14.8
Davante Adams,LV,WR,17,18.1,1.1
Malik Nabers,NYG,WR,18,35.3,17.3
Nico Collins,HOU,WR,19,20.7,1.7
D.J. Moore,CHI,WR,20,30.6,10.6
Mike Evans,TB,WR,21,24.4,3.4
Brandon Aiyuk,SF,WR,22,20.5,-1.5
Jaylen Waddle,MIA,WR,23,31.8,8.8
Michael Pittman,IND,WR,24,33.2,9.2
Saquon Barkley,PHI,RB,25,14.9,-10.1
DK Metcalf,SEA,WR,26,38.5,12.5
Deebo Samuel,SF,WR,27,27.5,0.5
Stefon Diggs,HOU,WR,28,28.3,0.3
Travis Kelce,KC,TE,29,23.9,-5.1
De'Von Achane,MIA,RB,30,23.5,-6.5
Jonathan Taylor,IND,RB,31,16.1,-14.9
Cooper Kupp,LAR,WR,32,29.7,-2.3
Jalen Hurts,PHI,QB,33,38,5
Christian Kirk,JAX,WR,34,53.2,19.2
Kyren Williams,LAR,RB,35,23.4,-11.6
Tee Higgins,CIN,WR,36,48.1,12.1
Tank Dell,HOU,WR,37,43.5,6.5
Josh Jacobs,GB,RB,38,42.5,4.5
Sam LaPorta,DET,TE,39,26.3,-12.7
Travis Etienne,JAX,RB,40,35.7,-4.3
Josh Allen,BUF,QB,41,33.4,-7.6
Isiah Pacheco,KC,RB,42,41,-1
Zay Flowers,BAL,WR,43,39.1,-3.9
Rachaad White,TB,RB,44,51.6,7.6
Lamar Jackson,BAL,QB,45,41,-4
Trey McBride,ARI,TE,46,45.3,-0.7
Chris Godwin,TB,WR,47,70,23
Keenan Allen,CHI,WR,48,56.1,8.1
James Cook,BUF,RB,49,50.8,1.8
Mark Andrews,BAL,TE,50,52.4,2.4
Kyle Pitts,ATL,TE,51,59.4,8.4
Dalton Kincaid,BUF,TE,52,49.2,-2.8
Amari Cooper,CLE,WR,53,48.8,-4.2
Patrick Mahomes,KC,QB,54,43.1,-10.9
Marquise Brown,KC,WR,55,57,2
Joe Mixon,HOU,RB,56,54.2,-1.8
Rome Odunze,CHI,WR,57,78.3,21.3
Derrick Henry,BAL,RB,58,25,-33
Kenneth Walker,SEA,RB,59,62.7,3.7
Anthony Richardson,IND,QB,60,57.8,-2.2
Evan Engram,JAX,TE,61,75.1,14.1
Alvin Kamara,NO,RB,62,60.8,-1.2
DeAndre Hopkins,TEN,WR,63,82.9,19.9
Brian Thomas,JAX,WR,64,83.9,19.9
Xavier Worthy,KC,WR,65,65.8,0.8
Terry McLaurin,WAS,WR,66,60.6,-5.4
Jaxon Smith-Njigba,SEA,WR,67,94.7,27.7
George Pickens,PIT,WR,68,51,-17
Diontae Johnson,CAR,WR,69,86.4,17.4
Jayden Reed,GB,WR,70,63.3,-6.7
C.J. Stroud,HOU,QB,71,47.1,-23.9
George Kittle,SF,TE,72,69.4,-2.6
Jordan Addison,MIN,WR,73,77.6,4.6
D'Andre Swift,CHI,RB,74,77.3,3.3
Rhamondre Stevenson,NE,RB,75,81.3,6.3
David Montgomery,DET,RB,76,70.1,-5.9
Dak Prescott,DAL,QB,77,79.5,2.5
Joe Burrow,CIN,QB,78,73.7,-4.3
Najee Harris,PIT,RB,79,91.2,12.2
