Team,Week 17,Week 16,Week 15,Division
ARI,LAR,CAR,NE,NFC WEST
ATL,WAS,NYG,LV,NFC SOUTH
BAL,HOU,PIT,NYG,AFC NORTH
BUF,NYJ,NE,DET,AFC EAST
CAR,TB,ARI,DAL,NFC SOUTH
CHI,SEA,DET,MIN,NFC NORTH
CIN,DEN,CLE,TEN,AFC NORTH
CLE,MIA,CIN,KC,AFC NORTH
DAL,PHI,TB,CAR,NFC EAST
DEN,CIN,LAC,IND,AFC WEST
DET,SF,CHI,BUF,NFC NORTH
GB,MIN,NO,SEA,NFC NORTH
HOU,BAL,KC,MIA,AFC SOUTH
IND,NYG,TEN,DEN,AFC SOUTH
JAX,TEN,LV,NYJ,AFC SOUTH
KC,PIT,HOU,CLE,AFC WEST
LAC,NE,DEN,TB,AFC WEST
LAR,ARI,NYJ,SF,NFC WEST
LV,NO,JAX,ATL,AFC WEST
MIA,CLE,SF,HOU,AFC EAST
MIN,GB,SEA,CHI,NFC NORTH
NE,LAC,BUF,ARI,AFC EAST
NO,LV,GB,WAS,NFC SOUTH
NYG,IND,ATL,BAL,NFC EAST
NYJ,BUF,LAR,JAX,AFC EAST
PHI,DAL,WAS,PIT,NFC EAST
PIT,KC,BAL,PHI,AFC NORTH
SEA,CHI,MIN,GB,NFC WEST
SF,DET,MIA,LAR,NFC WEST
TB,CAR,DAL,LAC,NFC SOUTH
TEN,JAX,IND,CIN,AFC SOUTH
WAS,ATL,PHI,NO,NFC EAST
